AREA_X,ID_CODE,MODE_FX,ST,SUB_REG,WAVE,YEAR,month,kod,SP_CODE,LNGTH,WGT,lngth_imp,wgt_imp,strat_id,psu_id,common,wgt_unadj,wp_size,l_in_bin,l_cm_bin,VAR_ID,ARX_METHOD,ALT_FLAG
5,1048819860413001,3,9,4,2,1986,04,we,8857042001,330,0.3,0,0,19862498304we,104881986041311661,WINTER FLOUNDER,0.3,9910.7372547,12,33,19862498304we,,0
5,1063919860412008,3,9,4,2,1986,04,we,8857042001,372,0.5,0,0,19862498304we,106391986041211678,WINTER FLOUNDER,0.5,3727.1370697,14,37,19862498304we,,0
5,1063919860412008,3,9,4,2,1986,04,we,8857042001,348,0.4,0,0,19862498304we,106391986041211678,WINTER FLOUNDER,0.4,3727.1370697,13,34,19862498304we,,0
5,1063919860412008,3,9,4,2,1986,04,we,8857042001,365,0.4,0,0,19862498304we,106391986041211678,WINTER FLOUNDER,0.4,3727.1370697,14,36,19862498304we,,0
5,1063919860412008,3,9,4,2,1986,04,we,8857042001,288,0.3,0,0,19862498304we,106391986041211678,WINTER FLOUNDER,0.3,3727.1370697,11,28,19862498304we,,0
5,1063919860412009,3,9,4,2,1986,04,we,8857042001,372,0.5,1,1,19862498304we,106391986041211678,WINTER FLOUNDER,0.5,3727.1370697,14,37,19862498304we,,0
5,1063919860412009,3,9,4,2,1986,04,we,8857042001,351,0.5,1,1,19862498304we,106391986041211678,WINTER FLOUNDER,0.5,3727.1370697,13,35,19862498304we,,0
5,1063919860412021,3,9,4,2,1986,04,we,8857042001,351,0.5,0,0,19862498304we,106391986041211678,WINTER FLOUNDER,0.5,3727.1370697,13,35,19862498304we,,0
5,1063919860412021,3,9,4,2,1986,04,we,8857042001,346,0.5,0,0,19862498304we,106391986041211678,WINTER FLOUNDER,0.5,3727.1370697,13,34,19862498304we,,0
5,1063919860412021,3,9,4,2,1986,04,we,8857042001,333,0.4,0,0,19862498304we,106391986041211678,WINTER FLOUNDER,0.4,3727.1370697,13,33,19862498304we,,0
5,1063919860412021,3,9,4,2,1986,04,we,8857042001,353,0.5,0,0,19862498304we,106391986041211678,WINTER FLOUNDER,0.5,3727.1370697,13,35,19862498304we,,0
5,1063919860412021,3,9,4,2,1986,04,we,8857042001,300,0.3,0,0,19862498304we,106391986041211678,WINTER FLOUNDER,0.3,3727.1370697,11,30,19862498304we,,0
5,1063919860412021,3,9,4,2,1986,04,we,8857042001,325,0.3,0,0,19862498304we,106391986041211678,WINTER FLOUNDER,0.3,3727.1370697,12,32,19862498304we,,0
5,1071119860419001,3,9,4,2,1986,04,we,,,,0,0,19862498304we,1071119860419117,,,6183.3860117,,,19862498304we,,0
5,1071619860329001,3,9,4,2,1986,03,we,8857042001,260,0.3,0,0,19862498303we,10716198603299260,WINTER FLOUNDER,0.3,9910.7372547,10,26,19862498303we,,0
5,1071619860329001,3,9,4,2,1986,03,we,8857042001,267,0.3,0,0,19862498303we,10716198603299260,WINTER FLOUNDER,0.3,9910.7372547,10,26,19862498303we,,0
5,1071619860420003,3,9,4,2,1986,04,we,8713040100,274,0.6,1,1,19862498304we,10716198604209287,SKATE GENUS,0.6,3727.1370697,10,27,19862498304we,,0
2,1063919860329001,6,9,4,2,1986,03,we,8791030402,508,1.4,0,0,19862498603we,106391986032911663,ATLANTIC COD,1.4,334.30289162,19,50,19862498603we,,0
2,1063919860329008,6,9,4,2,1986,03,we,8839010201,297,0.4,0,0,19862498603we,106391986032911663,CUNNER,0.4,334.30289162,11,29,19862498603we,,0
2,1063919860329008,6,9,4,2,1986,03,we,8791030402,439,0.9,0,0,19862498603we,106391986032911663,ATLANTIC COD,0.9,334.30289162,17,43,19862498603we,,0
2,1063919860329008,6,9,4,2,1986,03,we,8791030402,455,1.1,0,0,19862498603we,106391986032911663,ATLANTIC COD,1.1,334.30289162,17,45,19862498603we,,0
2,1063919860329008,6,9,4,2,1986,03,we,8839010201,310,0.4,0,0,19862498603we,106391986032911663,CUNNER,0.4,334.30289162,12,31,19862498603we,,0
2,1063919860329008,6,9,4,2,1986,03,we,8791030402,665,3.1,0,0,19862498603we,106391986032911663,ATLANTIC COD,3.1,334.30289162,26,66,19862498603we,,0
