prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,DATE,TURTLE,TOURN,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
STRIPED BASS,BLUEFISH,19916498311we,1166019911109192,,C,5,,2,1,1,1,Y,16,40,1,4.5,1166019911109002,92,2,3,0,0,0,0,,2,4,9,9,4,1,6,1991,1166019911109,11,we,,,1166019911109002,,,,8,1,,Fairfield,14OCT92:18:05,8,8,1,,,,8835250101,8835020102,1,88,8,1348,06484,911109,3,8,73,2830.8038047,19916498311we,,0,1166019911109002
STRIPED BASS,BLUEFISH,19916498311we,1115019911110182,,C,5,,2,1,1,1,Y,10,25,8,4,1115019911110004,82,5,3,0,0,0,0,,1,4,9,9,4,1,6,1991,1115019911110,11,we,,,1115019911110004,,,,8,1,,Fairfield,14OCT92:18:05,8,8,1,,,,8835250101,8835020102,1,88,8,1130,06430,911110,3,8,45,7527.3198176,19916498311we,,0,1115019911110004
BLUEFISH,STRIPED BASS,19916498311we,1115019911110185,0,C,5,,2,1,1,87,O,24,60,8,8.5,1115019911110001,85,5,3,1,0,0,0,,1,5,9,36,4,1,6,1991,1115019911110,11,we,,,1115019911110001,1,,,8,1,,Rockland,21AUG91:15:40,8,8,1,,,,8835020102,8835250101,1,88,8,845,10956,911110,3,8,60,12487.95609,19916498311we,,0,1115019911110001
STRIPED BASS,BLUEFISH,19916498311we,116601991110311646,,C,5,,2,1,11,3,Y,10,30,8,5,1166019911103010,646,5,3,0,0,0,0,,1,4,9,9,4,1,6,1991,1166019911103,11,we,,,1166019911103010,,,,8,1,,Hartford,14OCT92:18:05,8,8,1,,,,8835250101,8835020102,1,88,8,925,06447,911103,3,8,54,2830.8038047,19916498311we,,0,1166019911103010
,STRIPED BASS,19916498311we,1115019911130185,0,C,5,,2,1,1,1,Y,10,50,8,2.5,1115019911130003,85,5,3,1,0,0,0,,1,4,9,9,4,1,6,1991,1115019911130,11,we,,,1115019911130003,1,,,8,1,,Fairfield,14OCT92:18:05,8,8,1,,,,8835020102,,1,88,8,1522,06430,911130,3,8,43,7527.3198176,19916498311we,,0,1115019911130003
BLUEFISH,STRIPED BASS,19916498311we,1115019911110185,,C,5,,2,1,1,79,O,8,60,8,8.5,1115019911110002,85,5,3,0,0,0,0,,1,5,9,36,4,1,6,1991,1115019911110,11,we,,,1115019911110002,,,,8,1,,Putnam,21AUG91:15:40,8,8,1,,,,8835020102,8835250101,1,88,8,845,10560,911110,3,8,60,12487.95609,19916498311we,,0,1115019911110002
STRIPED BASS,BLUEFISH,19916498311we,116601991110311646,0,C,5,,1,1,11,15,Y,0,0,8,3,1166019911103009,646,5,3,1,1,0,0,,1,4,9,9,4,1,6,1991,1166019911103,11,we,,,1166019911103009,1,1,0,8,1,,Windham,14OCT92:18:05,8,1,1,,,,8835250101,8835020102,1,88,8,916,06256,911103,3,8,23,2830.8038047,19916498311we,,0,1166019911103009
STRIPED BASS,BLUEFISH,19916498311we,1166019911109192,,C,5,,2,1,1,1,Y,15,30,1,2,1166019911109006,92,2,3,0,0,0,0,,2,4,9,9,4,1,6,1991,1166019911109,11,we,,,1166019911109006,,,,8,1,,Fairfield,14OCT92:18:05,8,8,1,,,,8835250101,8835020102,1,88,8,1432,06606,911109,3,8,34,2830.8038047,19916498311we,,0,1166019911109006
,BLUEFISH,19916498311we,1166019911109192,0,C,5,,2,1,1,1,Y,10,50,8,2,1166019911109001,92,2,3,1,0,0,0,,1,4,9,9,4,1,6,1991,1166019911109,11,we,,,1166019911109001,1,,,8,1,,Fairfield,14OCT92:18:05,8,8,1,,,,8835250101,,1,88,8,1201,06606,911109,3,8,41,2830.8038047,19916498311we,,0,1166019911109001
STRIPED BASS,BLUEFISH,19916498311we,116601991110311646,,C,5,,2,1,11,15,Y,25,50,8,2,1166019911103008,646,5,3,0,0,0,0,,1,4,9,9,4,1,6,1991,1166019911103,11,we,,,1166019911103008,,,,8,1,,Windham,14OCT92:18:05,8,8,1,,,,8835250101,8835020102,1,88,8,839,06237,911103,3,8,58,2830.8038047,19916498311we,,0,1166019911103008
