id_code,MODE_FX,AREA_X,ST,SUB_REG,WAVE,year,month,kod,SP_CODE,LNGTH,WGT,lngth_imp,wgt_imp,strat_id,psu_id,common,wgt_unadj,wp_size,l_in_bin,l_cm_bin,VAR_ID,ARX_METHOD,ALT_FLAG
1006619810912001,3,5,9,4,5,1981,09,we,8747010401,230,0.3,1,1,19815498209we,1006619810912192,ATLANTIC MENHADEN,0.3,1269.0209488,9,23,19815498209we,,0
1006619810912001,3,5,9,4,5,1981,09,we,8747010401,230,0.3,0,0,19815498209we,1006619810912192,ATLANTIC MENHADEN,0.3,1269.0209488,9,23,19815498209we,,0
1006619810912001,3,5,9,4,5,1981,09,we,8747010401,240,0.3,0,0,19815498209we,1006619810912192,ATLANTIC MENHADEN,0.3,1269.0209488,9,24,19815498209we,,0
1006619810912001,3,5,9,4,5,1981,09,we,8747010401,270,0.4,1,1,19815498209we,1006619810912192,ATLANTIC MENHADEN,0.4,1269.0209488,10,27,19815498209we,,0
1006619810912001,3,5,9,4,5,1981,09,we,8747010401,240,0.2,1,1,19815498209we,1006619810912192,ATLANTIC MENHADEN,0.2,1269.0209488,9,24,19815498209we,,0
1006619810912001,3,5,9,4,5,1981,09,we,8747010401,230,0.2,0,0,19815498209we,1006619810912192,ATLANTIC MENHADEN,0.2,1269.0209488,9,23,19815498209we,,0
1006619810912001,3,5,9,4,5,1981,09,we,8747010401,220,0.3,0,0,19815498209we,1006619810912192,ATLANTIC MENHADEN,0.3,1269.0209488,8,22,19815498209we,,0
1006619810912001,3,5,9,4,5,1981,09,we,8747010401,240,0.2,0,0,19815498209we,1006619810912192,ATLANTIC MENHADEN,0.2,1269.0209488,9,24,19815498209we,,0
1006619810912001,3,5,9,4,5,1981,09,we,8747010401,270,0.4,0,0,19815498209we,1006619810912192,ATLANTIC MENHADEN,0.4,1269.0209488,10,27,19815498209we,,0
1006619810912001,3,5,9,4,5,1981,09,we,8747010401,240,0.2,0,0,19815498209we,1006619810912192,ATLANTIC MENHADEN,0.2,1269.0209488,9,24,19815498209we,,0
1006619810912001,3,5,9,4,5,1981,09,we,8747010401,220,0.3,1,1,19815498209we,1006619810912192,ATLANTIC MENHADEN,0.3,1269.0209488,8,22,19815498209we,,0
1006619810912001,3,5,9,4,5,1981,09,we,8747010401,230,0.3,0,0,19815498209we,1006619810912192,ATLANTIC MENHADEN,0.3,1269.0209488,9,23,19815498209we,,0
1006619810912001,3,5,9,4,5,1981,09,we,8747010401,270,0.4,0,0,19815498209we,1006619810912192,ATLANTIC MENHADEN,0.4,1269.0209488,10,27,19815498209we,,0
1006619810912001,3,5,9,4,5,1981,09,we,8747010401,240,0.3,0,0,19815498209we,1006619810912192,ATLANTIC MENHADEN,0.3,1269.0209488,9,24,19815498209we,,0
